j,x_{j+1/2},P(x_{j+1/2}),y(x_{j+1/2}),Погрешность |y-P|
0,0.025,0.87852535008039,0.8227919171862501,0.0557334328941399
1,0.07500000000000001,0.7883063512171071,0.7876256623911363,0.0006806888259708321
2,0.125,0.7703203311972349,0.7701424277698707,0.00017790342736412335
3,0.17500000000000002,0.7583520096404552,0.758279672514213,7.233712624221678e-05
4,0.225,0.7492914212996425,0.7492548763105847,3.654498905780734e-05
5,0.275,0.7419760074091569,0.7419549578217238,2.1049587433097372e-05
6,0.325,0.7358316298087909,0.7358183865050524,1.3243303738530443e-05
7,0.375,0.7305299889508696,0.7305211094679546,8.879482915058468e-06
8,0.42500000000000004,0.725864959618107,0.725858712523369,6.247094738065506e-06
9,0.47500000000000003,0.7216983410653415,0.7216937771368953,4.5639284461662655e-06
10,0.525,0.7179328257461037,0.7179293887718768,3.4369742268891557e-06
11,0.5750000000000001,0.7144972443976598,0.7144945906951577,2.653702502075639e-06
12,0.625,0.7113379361909193,0.7113358439943672,2.0921965521170094e-06
13,0.675,0.7084134192323112,0.7084117401863133,1.6790459979043604e-06
14,0.7250000000000001,0.7056909510256651,0.7056895828076111,1.3682180540763866e-06
15,0.775,0.70314422620667,0.7031430963715279,1.1298351421107355e-06
16,0.8250000000000001,0.7007517874076229,0.7007508434862493,9.439213736195384e-07
17,0.875,0.6984958991491633,0.6984951023772973,7.967718660406575e-07
18,0.925,0.6963617314908201,0.6963610527222798,6.787685403741861e-07
