j,x_j,y_j
0,0.0,1.0
1,0.05,0.8010106270356304
2,0.1,0.7778609615706621
3,0.15000000000000002,0.7637468407940065
4,0.2,0.7535012798981463
5,0.25,0.7454321246472562
6,0.30000000000000004,0.7387652171808362
7,0.35000000000000003,0.7330796177535296
8,0.4,0.7281203195933592
9,0.45,0.7237208592137876
10,0.5,0.7197664371179472
11,0.55,0.716174471826314
12,0.6000000000000001,0.7128835363428953
13,0.65,0.7098466783550348
14,0.7000000000000001,0.7070271896315405
15,0.75,0.7043958189958587
16,0.8,0.7019288746644524
17,0.8500000000000001,0.6996068953209305
18,0.9,0.697413696657956
19,0.9500000000000001,0.6953356727172213
20,1.0,0.6933612743506348
